t,X,Y,Z
2.096,-11.900431678205004,-13.46097567598143,29.57202869866159
2.1,-11.960218201088306,-13.324571884052428,29.89434330004837
2.104,-12.01189438457867,-13.174173895790336,30.208759144664274
2.108,-12.055181285093267,-13.010267406750541,30.514192203679624
2.112,-12.089841099560912,-12.833362335538032,30.80962526444978
2.116,-12.115677165422056,-12.643992823807405,31.094107930515158
2.12,-12.132533960628788,-12.442717236262865,31.366756621601212
2.124,-12.14029710364484,-12.230118160658217,31.626754573618438
2.128,-12.13889335344558,-12.006802407796872,31.87335183866239
2.132,-12.128290609518016,-11.77340101153185,32.10586528501366
2.136,-12.108497911860796,-11.530569228765778,32.32367859713787
2.14,-12.079565440984206,-11.278986539450878,32.526242275685725
2.144,-12.04158451791017,-11.019356646588987,32.71307363749294
2.148,-11.994687604172256,-10.752407476231545,32.88375681558029
2.152,-11.939048301815665,-10.478891177479596,33.0379427591536
2.156,-11.874881353397244,-10.199584122483792,33.175349233603725
2.16,-11.80244264198547,-9.915286906444386,33.29576082050659
2.164,-11.722029191160468,-9.626824347611244,33.399028917623134
2.168,-11.633938668291442,-9.33513588755615,33.485061361428365
2.172,-11.537822524265554,-9.042776846068255,33.55367791900457
2.176,-11.433852328026019,-8.751320160633362,33.604933925869844
2.18,-11.32248128041383,-8.461683690166923,33.63901075313273
2.184,-11.204160364263453,-8.17473810611039,33.65613581917989
2.188,-11.079338344402828,-7.891306892431212,33.65658258967607
2.192,-10.948461767653368,-7.612166345622836,33.64067057756413
2.196,-10.811974962829963,-7.33804557470471,33.60876534306505
2.2,-10.670320040740968,-7.069626501222276,33.561278493677904
2.204,-10.523936894188223,-6.807543859246975,33.49866768417987
2.208,-10.373263197967033,-6.552385195376248,33.42143661662623
2.212,-10.218734408866181,-6.30469086873353,33.33013504035039
2.216,-10.060783765667924,-6.064954050968258,33.22535875196385
2.22,-9.89984228914799,-5.833620726255867,33.10774959535621
2.224,-9.736338782075585,-5.611089691297787,32.97799546169519
2.228,-9.570699829213382,-5.397712555321447,32.8368302894266
2.232,-9.403349797317533,-5.193793740080275,32.685034064274376
2.236,-9.234710835137665,-4.999590479853695,32.52343281924055
2.24,-9.065202873416872,-4.815312821447131,32.35289863460525
2.244,-8.895243624891727,-4.641123624192007,32.17434963792673
